iter	phi	mu	r	Density	Potential
0	0	0.03125	712000	2600	-419292
0	0	0.03125	720000	2600	-416505
0	0	0.03125	728000	2600	-413732
0	0	0.03125	736000	2600	-410873
0	0	0.03125	744000	2600	-408026
0	0	0.03125	752000	2600	-405093
0	0	0.03125	760000	2600	-402173
0	0	0.03125	768000	2600	-399175
0	0	0.03125	776000	2600	-396192
0	0	0.03125	784000	2600	-393130
0	0	0.03125	792000	2600	-390083
0	0	0.03125	800000	2600	-386968
0	0	0.03125	808000	2600	-383872
0	0	0.03125	816000	2600	-380709
0	0	0.03125	824000	2600	-377563
0	0	0.03125	832000	2600	-374354
0	0	0.03125	840000	2600	-371166
0	0	0.03125	848000	2600	-367915
0	0	0.03125	856000	2600	-364685
0	0	0.03125	864000	2600	-361388
0	0	0.03125	872000	2600	-358107
0	0	0.03125	880000	2600	-354741
0	0	0.03125	888000	2600	-351386
0	0	0.03125	896000	2600	-347939
0	0	0.03125	904000	2600	-344503
0	0	0.03125	912000	2600	-340970
0	0	0.03125	920000	2600	-337446
0	0	0.03125	928000	2600	-333824
0	0	0.03125	936000	2600	-330207
0	0	0.03125	944000	2600	-326490
0	0	0.03125	952000	2600	-322787
0	0	0.03125	960000	0	-319056
0	0	0.03125	968000	0	-315428
0	0	0.03125	976000	0	-311900
0	0	0.03125	984000	0	-308467
0	0	0.03125	992000	0	-305125
0	0	0.03125	1e+06	0	-301868
0	0	0.03125	1.008e+06	0	-298694
0	0	0.03125	1.016e+06	0	-295598
0	0	0.03125	1.024e+06	0	-292578
0	0	0.0625	0	2600	-541661
0	0	0.0625	8000	2600	-541669
0	0	0.0625	16000	2600	-541599
0	0	0.0625	24000	2600	-541545
0	0	0.0625	32000	2600	-541413
0	0	0.0625	40000	2600	-541296
0	0	0.0625	48000	2600	-541102
0	0	0.0625	56000	2600	-540924
0	0	0.0625	64000	2600	-540668
0	0	0.0625	72000	2600	-540427
0	0	0.0625	80000	2600	-540109
0	0	0.0625	88000	2600	-539806
0	0	0.0625	96000	2600	-539426
0	0	0.0625	104000	2600	-539061
0	0	0.0625	112000	2600	-538619
0	0	0.0625	120000	2600	-538192
0	0	0.0625	128000	2600	-537688
0	0	0.0625	136000	2600	-537199
0	0	0.0625	144000	2600	-536632
0	0	0.0625	152000	2600	-536082
0	0	0.0625	160000	2600	-535453
0	0	0.0625	168000	2600	-534840
0	0	0.0625	176000	2600	-534149
0	0	0.0625	184000	2600	-533474
0	0	0.0625	192000	2600	-532722
0	0	0.0625	200000	2600	-531985
0	0	0.0625	208000	2600	-531170
0	0	0.0625	216000	2600	-530371
0	0	0.0625	224000	2600	-529494
0	0	0.0625	232000	2600	-528633
0	0	0.0625	240000	2600	-527694
0	0	0.0625	248000	2600	-526771
0	0	0.0625	256000	2600	-525770
0	0	0.0625	264000	2600	-524785
0	0	0.0625	272000	2600	-523722
0	0	0.0625	280000	2600	-522674
0	0	0.0625	288000	2600	-521549
0	0	0.0625	296000	2600	-520440
0	0	0.0625	304000	2600	-519253
0	0	0.0625	312000	2600	-518082
0	0	0.0625	320000	2600	-516833
0	0	0.0625	328000	2600	-515599
0	0	0.0625	336000	2600	-514288
0	0	0.0625	344000	2600	-512993
0	0	0.0625	352000	2600	-511620
0	0	0.0625	360000	2600	-510263
0	0	0.0625	368000	2600	-508828
0	0	0.0625	376000	2600	-507408
0	0	0.0625	384000	2600	-505911
0	0	0.0625	392000	2600	-504430
0	0	0.0625	400000	2600	-502870
0	0	0.0625	408000	2600	-501327
0	0	0.0625	416000	2600	-499706
0	0	0.0625	424000	2600	-498100
0	0	0.0625	432000	2600	-496417
0	0	0.0625	440000	2600	-494749
0	0	0.0625	448000	2600	-493004
0	0	0.0625	456000	2600	-491274
0	0	0.0625	464000	2600	-489466
0	0	0.0625	472000	2600	-487673
0	0	0.0625	480000	2600	-485803
0	0	0.0625	488000	2600	-483948
0	0	0.0625	496000	2600	-482015
0	0	0.0625	504000	2600	-480098
